General Statistics: 
>R000227        397
>R000228        494
>R000229        491
>R000230        480
>R000231        507
>R000232        550
>R000233        410
>R000234        433
>R000235        454
>R000236        429
>R000237        471
>R000238        390
>R000239        391
>R000240        463
>R000241        289
>R000242        505
>R000243        429
>R000244        460
>R000245        557
>R000246        442
>R000247        550
>R000248        530
>R000249        502
>R000250        410
>R000251        389
>R000252        512
>R000253        415
>R000254        594
>R000255        408
>R000256        443
>R000257        428
>R000258        412
>R000259        445
>R000260        515
>R000261        449
>R000262        518
>R000263        416
>R000264        551
>R000265        351
>R000266        461
>R000267        476
>R000268        423
>R000269        474
>R000270        477
>R000271        410
>R000272        394
>R000273        420
>R000274        408
>R000275        482
>R000276        417
>R000277        531
>R000278        400
>R000279        590
>R000280        477
>R000281        386
>R000282        427
>R000283        497
>R000284        572
>R000285        436
>R000286        482
>R000287        466
>R000288        473
>R000289        379
>R000290        301
>R000291        577
>R000292        499
>R000293        519
>R000294        417
>R000295        420
>R000296        441
>R000297        461
>R000298        478
>R000299        447
>R000300        466
>R000301        528
>R000302        504
>R000303        344
>R000304        381
>R000305        428
>R000306        401
>R000307        442
>R000308        447
>R000309        526
>R000310        443
>R000311        554
>R000312        501
>R000313        439
>R000314        494
>R000315        318
>R000316        453
>R000317        460
>R000318        533
>R000319        537
>R000320        484
>R000321        405
>R000322        468
>R000323        534
>R000324        464
>R000325        432
>R000326        471
>R000327        392
>R000329        488
>R000330        457
>R000331        540
>R000332        470
>R000333        566
>R000334        524
>R000335        440
>R000336        162
>R000337        527
>R000338        410
>R000339        461
>R000340        472
>R000341        360
>R000342        503
>R000343        475
>R000344        401
>R000345        451
>R000346        511
>R000347        486
>R000348        537
>R000349        372
>R000350        467
>R000351        499
>R000352        340
>R000353        442
>R000354        517
>R000355        462
>R000356        462
>R000357        521
>R000358        492
>R000359        476
>R000360        474
>R000361        420
>R000362        379
>R000363        481
>R000364        378
>R000365        487
>R000366        421
>R000367        487
>R000368        369
>R000369        487
>R000370        492
>R000371        450
>R000372        531
>R000373        517
>R000374        472
>R000375        507
>R000376        521
>R000377        527
>R000378        351
>R000379        515
>R000380        444
>R000381        470
>R000382        437
>R000383        429
>R000384        450
>R000385        493
>R000386        466
>R000387        542
>R000388        461
>R000389        502
>R000390        351
>R000391        463
>R000392        504
>R000393        430
>R000394        501
>R000395        493
>R000396        479
>R000397        404
>R000398        534
>R000399        602
>R000400        311
>R000401        466
>R000402        466
>R000403        427
>R000404        484
>R000405        527
>R000406        404
>R000407        662
>R000408        534
>R000409        479
>R000410        464
>R000411        434
>R000412        352
>R000413        345
>R000414        553
>R000415        371
>R000416        345
>R000417        525
>R000418        585
>R000419        376
>R000420        454
>R000421        549
>R000422        322
>R000423        537
>R000424        406
>R000425        483
>R000426        446
>R000427        529
>R000428        451
>R000429        378
>R000430        479
>R000431        614
>R000432        574
>R000433        421
>R000434        434
>R000435        432
>R000436        487
>R000437        414
>R000438        500
>R000439        547
>R000440        524
>R000441        496
>R000442        487
>R000443        506
>R000444        550
>R000445        519
>R000446        451
>R000447        450
>R000448        430
>R000449        463
>R000450        474
>R000451        490
>R000452        546
>R000453        418
>R000454        479
>R000455        601
>R000456        420
>R000457        434
>R000458        533
>R000459        493
>R000460        531
>R000461        458
>R000462        514
>R000463        557
>R000464        468
>R000465        363
>R000466        349
>R000467        605
>R000468        389
>R000469        438
>R000470        410
>R000471        477
>R000472        416
>R000473        388
>R000474        506
>R000475        466
>R000476        572
>R000477        492
>R000478        537
>R000479        496
>R000480        443
>R000481        418
>R000482        419
>R000483        554
>R000484        442
>R000485        476
>R000486        395
>R000487        469
>R000488        507
>R000489        520
>R000490        382
>R000491        472
>R000492        447
>R000493        435
>R000494        502
>R000495        361
>R000496        553
>R000497        506
>R000498        488
>R000499        466
>R000500        484
>R000501        448
>R000502        558
>R000503        499
>R000504        516
>R000505        489
>R000506        481
>R000507        453
>R000508        401
>R000509        479
>R000511        550
>R000512        509
>R000513        464
>R000514        422
>R000515        450
>R000516        443
>R000517        498
>R000518        533
>R000519        460
>R000520        438
>R000521        310
>R000522        477
>R000523        360
>R000524        393
>R000525        393
>R000526        456
>R000527        346
>R000528        446
>R000529        450
>R000530        542
>R000531        560
>R000532        507
>R000533        449
>R000534        519
>R000535        450
>R000536        579
>R000537        475
>R000538        461
>R000539        511
>R000540        475
>R000541        362
>R000542        496
>R000543        530
>R000544        468
>R000545        375
>R000546        495
>R000547        497
>R000548        478
>R000549        459
>R000550        489
>R000551        466
>R000552        514
>R000553        515
>R000554        285
>R000555        511
>R000556        474
>R000557        410
>R000558        453
>R000559        468
>R000560        533
>R000561        354
>R000562        465
>R000563        460
>R000564        415
>R000565        550
>R000566        457
>R000567        483
>R000568        364
>R000569        533
>R000570        362
>R000571        390
>R000572        475
>R000573        397
>R000574        480
>R000575        576
>R000576        515
>R000577        529
>R000578        532
>R000579        471
>R000580        448
>R000581        515
>R000582        401
>R000583        412
>R000584        543
>R000585        575
>R000586        495
>R000587        478
>R000588        89
>R000589        495
>R000590        422
>R000591        459
>R000592        545
>R000593        448
>R000594        391
>R000595        394
>R000596        490
>R000597        441
>R000598        454
>R000599        528
>R000600        452
>R000601        528
>R000602        311
>R000603        395
>R000604        479
>R000605        324
>R000606        459
>R000607        481
>R000608        462
>R000609        539
>R000610        486
>R000611        517
>R000612        357
>R000613        449
>R000614        515
>R000615        396
>R000616        502
>R000617        467
>R000618        509
>R000619        466
>R000620        487
>R000621        411
>R000622        519
>R000623        396
>R000624        535
>R000625        526
>R000626        415
>R000627        432
>R000628        424
>R000629        338
>R000630        489
>R000631        449
>R000632        433
>R000633        389
>R000634        526
>R000635        531
>R000636        445
>R000637        238
>R000638        467
>R000639        497
>R000640        510
>R000641        357
>R000642        516
>R000643        428
>R000644        484
>R000645        500
>R000646        397
>R000647        500
>R000648        514
>R000649        506
>R000650        477
>R000651        516
>R000652        487
>R000653        429
>R000654        401
>R000655        450
>R000656        420
>R000657        516
>R000658        460
>R000659        431
>R000660        481
>R000661        455
>R000662        526
>R000663        520
>R000664        520
>R000665        500
>R000666        455
>R000667        522
>R000668        473
>R000669        516
>R000670        437
>R000671        456
>R000672        417
>R000673        576
>R000674        492
>R000675        426
>R000676        564
>R000677        431
>R000678        480
>R000679        535
>R000680        373
>R000681        533
>R000682        498
>R000683        547
>R000684        458
>R000685        487
>R000686        414
>R000687        415
>R000688        436
>R000689        445
>R000690        426
>R000691        503
>R000692        560
>R000693        529
>R000694        464
>R000695        415
>R000696        426
>R000697        442
>R000698        475
>R000699        410
>R000700        89
>R000701        511
>R000702        443
>R000703        377
>R000704        530
>R000705        370
>R000706        431
>R000707        383
>R000708        331
>R000709        475
>R000710        446
>R000711        468
>R000712        429
>R000713        444
>R000714        393
>R000715        490
>R000716        530
>R000717        409
>R000718        89
>R000719        490
>R000720        469
>R000721        475
>R000722        544
>R000723        483
>R000724        531
>R000725        607
>R000726        505
>R000727        493
>R000728        441
>R000729        473
>R000730        548
>R000731        409
>R000732        508
>R000733        518
>R000734        500
>R000735        520
>R000736        89
>R000737        497
>R000738        552
>R000739        512
>R000740        469
>R000741        336
>R000742        376
>R000743        529
>R000744        369
>R000745        385
>R000746        468
>R000747        481
>R000748        486
>R000749        444
>R000750        487
>R000751        444
>R000752        414
>R000753        514
>R000754        561
>R000755        430
>R000756        474
>R000757        332
>R000758        461
>R000759        521
>R000760        450
>R000761        326
>R000762        460
>R000763        417
>R000764        463
>R000765        446
>R000766        438
>R000767        450
>R000768        453
>R000769        399
>R000770        497
>R000771        432
>R000772        457
>R000773        437
>R000774        417
>R000775        439
>R000776        447
>R000777        472
>R000778        527
>R000779        480
>R000780        497
>R000781        435
>R000782        402
>R000783        428
>R000784        428
>R000785        473
>R000786        89
>R000787        415
>R000788        406
>R000789        501
>R000790        446
>R000791        419
>R000792        492
>R000793        492
>R000794        433
>R000795        418
>R000796        332
>R000797        475
>R000798        383
>R000799        489
>R000800        443
>R000801        279
>R000802        507
>R000803        419
>R000804        450
>R000805        481
>R000806        375
>R000807        416
>R000808        464
>R000809        399
>R000810        301
>R000811        475
>R000812        430
>R000813        541
>R000814        388
>R000815        552
>R000816        394
>R000817        369
>R000818        404
>R000819        391
>R000820        564
>R000821        412
>R000822        494
>R000823        457
>R000824        562
>R000825        445
>R000826        538
>R000827        384
>R000828        467
>R000829        445
>R000830        382
>R000831        480
>R000832        509
>R000833        451
>R000834        451
>R000835        463
>R000836        445
>R000837        461
>R000838        389
>R000839        483
>R000840        384
>R000841        208
>R000842        481
>R000843        430
>R000844        506
>R000845        429
>R000846        541
>R000847        471
>R000848        474
>R000849        361
>R000850        488
>R000851        337
>R000852        500
>R000853        462
>R000854        475
>R000855        473
>R000856        455
>R000857        388
>R000858        367
>R000859        416
>R000860        588
>R000861        416
>R000862        478
>R000863        390
>R000864        438
>R000865        524
>R000866        401
>R000867        495
>R000868        445
>R000869        507
>R000870        513
>R000871        451
>R000872        437
>R000873        328
>R000874        502
>R000875        486
>R000876        324
>R000877        462
>R000878        500
>R000879        447
>R000880        541
>R000881        501
>R000882        488
>R000883        502
>R000884        436
>R000885        398
>R000886        433
>R000887        293
>R000888        311
>R000889        467
>R000890        500
>R000891        453
>R000892        452
>R000893        479
>R000894        492
>R000895        403
>R000896        470
>R000897        422
>R000898        463
>R000899        526
>R000900        510
>R000901        433
>R000902        545
>R000903        446
>R000904        432
>R000905        475
>R000906        497
>R000907        418
>R000908        584
>R000909        536
>R000910        550
>R000911        509
>R000912        387
>R000913        486
>R000914        409
>R000915        438
>R000916        450
>R000917        401
>R000918        419
>R000919        512
>R000920        490
>R000921        471
>R000922        529
>R000923        471
>R000924        470
>R000925        429
>R000926        539
>R000927        356
>R000928        89
>R000929        478
>R000930        482
>R000931        488
>R000933        566
>R000934        422
>R000935        503
>R000936        458
>R000937        382
>R000938        412
>R000939        473
>R000940        386
>R000941        496
>R000942        479
>R000943        443
>R000944        492
>R000945        431
>R000946        557
>R000947        524
>R000948        463
>R000949        456
>R000950        326
>R000951        492
>R000952        491
>R000953        492
>R000954        532
>R000955        559
>R000956        572
>R000958        491
>R000959        706
>R000960        408
>R000961        492
>R000962        431
>R000963        492
>R000964        503
>R000965        352
>R000966        538
>R000967        499
>R000968        348
>R000969        567
>R000970        491
>R000971        429
>R000972        459
>R000973        438
>R000974        517
>R000975        537
>R000976        336
>R000977        464
>R000978        450
>R000979        486
>R000980        292
>R000982        447
>R000983        320
>R000984        546
>R000985        425
>R000986        477
>R000987        593
>R000988        418
>R000989        327
>R000990        419
>R000991        481
>R000992        524
>R000993        546
>R000994        403
>R000995        600
>R000996        429
>R000997        446
>R000998        397
>R000999        386
>R001000        483
>R001001        494
>R001002        505
>R001003        558
>R001004        432
>R001005        453
>R001006        446
>R001007        444
>R001008        445
>R001009        465
>R001010        413
>R001011        525
>R001012        315
>R001013        533
>R001014        544
>R001015        435
>R001016        639
>R001017        426
>R001018        428
>R001019        316
>R001020        323
>R001021        502
>R001022        510
>R001023        492
>R001024        490
>R001025        459
>R001026        213
>R001027        437
>R001028        529
>R001029        434
>R001030        453
>R001031        497
>R001032        591
>R001033        448
>R001034        366
>R001035        549
>R001036        467
>R001037        461
>R001038        467
>R001039        438
>R001040        512
>R001041        512
>R001042        419
>R001043        400
>R001044        464
>R001045        279
>R001046        467
>R001047        386
>R001048        493
>R001049        455
>R001050        505
>R001051        477
>R001052        509
>R001053        434
>R001054        419
>R001055        473
>R001056        413
>R001057        511
>R001058        449
>R001059        475
>R001060        439
>R001061        491
>R001062        501
>R001063        505
>R001064        353
>R001065        501
>R001066        463
>R001067        467
>R001068        484
>R001069        503
>R001070        481
>R001071        454
>R001072        443
>R001073        89
>R001074        467
>R001075        512
>R001076        516
>R001077        457
>R001078        469
>R001079        496
>R001080        452
>R001081        469
>R001082        495
>R001083        464
>R001084        467
>R001085        491
>R001086        436
>R001087        486
>R001088        460
>R001089        561
>R001090        418
>R001091        430
>R001092        560
>R001093        391
>R001094        539
>R001095        390
>R001096        536
>R001097        510
>R001098        468
>R001099        569
>R001100        471
>R001101        340
>R001103        452
>R001104        343
>R001105        444
>R001106        348
>R001107        499
>R001108        532
>R001109        492
>R001110        379
>R001111        427
>R001112        506
>R001113        492
>R001114        448
>R001115        465
>R001116        310
>R001117        312
>R001118        444
>R001119        378
>R001120        509
>R001121        501
>R001122        401
>R001123        500
>R001124        396
>R001125        339
>R001126        351
>R001127        485
>R001128        419
>R001129        420
>R001130        451
>R001131        621
>R001132        473
>R001133        429
>R001134        483
>R001135        504
>R001136        499
>R001137        462
>R001138        502
>R001139        453
>R001140        416
>R001141        467
>R001142        514
>R001143        336
>R001144        476
>R001145        442
>R001146        408
>R001147        437
>R001148        440
>R001149        450
>R001150        479
>R001151        417
>R001152        497
>R001153        503
>R001154        89
>R001155        465
>R001156        515
>R001157        497
>R001158        454
>R001159        518
>R001160        449
>R001161        452
>R001162        346
>R001163        510
>R001164        424
>R001165        526
>R001166        512
>R001167        487
>R001168        346
>R001169        448
>R001170        434
>R001171        429
>R001172        501
>R001173        441
>R001174        447
>R001175        440
>R001176        481
>R001177        454
>R001178        440
>R001179        475
>R001180        461
>R001181        447
>R001182        499
>R001183        491
>R001184        507
>R001185        443
>R001186        479
>R001187        487
>R001188        361
>R001189        434
>R001190        471
>R001191        534
>R001192        563
>R001193        446
>R001194        443
>R001195        461
>R001196        607
>R001197        456
>R001198        563
>R001199        473
>R001200        499
>R001201        441
>R001202        387
>R001203        454
>R001204        497
>R001205        505
>R001206        438
>R001207        480
>R001208        250
>R001209        452
>R001210        432
>R001211        441
>R001212        514
>R001213        303
>R001214        433
>R001215        429
>R001216        470
>R001217        351
>R001218        436
>R001219        450
>R001220        350
>R001221        490
>R001222        518
>R001223        499
>R001224        388
>R001225        424
>R001226        328
>R001227        411
>R001228        373
>R001229        394
>R001230        396
>R001231        475
>R001232        562
>R001233        443
>R001234        460
>R001235        370
>R001236        494
>R001237        500
>R001238        525
>R001239        466
>R001240        548
>R001241        453
>R001242        527
>R001243        436
>R001244        494
>R001245        489
>R001246        477
>R001247        571
>R001248        520
>R001249        459
>R001250        427
>R001251        372
>R001252        460
>R001253        89
>R001254        475
>R001255        554
>R001256        408
>R001257        511
>R001258        454
>R001259        348
>R001260        544
>R001261        435
>R001262        388
>R001263        498
>R001264        374
>R001265        489
>R001266        471
>R001267        363
>R001268        342
>R001269        467
>R001270        467
>R001271        511
>R001272        513
>R001273        471
>R001274        470
>R001275        464
>R001276        484
>R001277        432
>R001278        374
>R001279        480
>R001280        409
>R001281        428
>R001282        472
>R001283        472
>R001284        425
>R001285        471
>R001286        508
>R001287        454
>R001288        572
>R001289        428
>R001290        497
>R001291        497
>R001292        513
>R001293        462
>R001294        523
>R001295        520
>R001296        439
>R001297        407
>R001298        491
>R001299        541
>R001300        487
>R001301        427
>R001302        564
>R001303        536
>R001304        447
>R001305        484
>R001306        591
>R001307        474
>R001308        433
>R001309        517
>R001310        335
>R001311        429
>R001312        418
>R001313        517
>R001314        496
>R001315        463
>R001316        533
>R001317        492
>R001318        515
>R001319        545
>R001320        544
>R001321        483
>R001322        388
>R001323        379
>R001324        408
>R001325        473
>R001326        473
>R001327        464
>R001328        283
>R001329        387
>R001330        429
>R001331        492
>R001332        530
>R001333        355
>R001334        487
>R001335        420
>R001336        506
>R001337        464
>R001338        490
>R001339        522
>R001340        435
>R001341        555
>R001342        464
>R001343        381
>R001344        452
>R001345        401
>R001346        351
>R001347        523
>R001348        411
>R001349        430
>R001350        419
>R001351        415
>R001352        531
>R001353        483
>R001354        483
>R001355        518
>R001356        354
>R001357        450
>R001358        484
>R001359        318
>R001360        503
>R001361        476
>R001362        444
>R001363        380
>R001364        356
>R001365        429
>R001366        474
>R001367        564
>R001368        447
>R001369        523
>R001370        422
>R001371        89
>R001372        578
>R001373        315
>R001374        479
>R001375        380
>R001376        439
>R001377        385
>R001378        426
>R001379        349
>R001380        455
>R001381        406
>R001382        345
>R001383        470
>R001384        436
>R001385        423
>R001386        432
>R001387        420
>R001388        507
>R001389        471
>R001390        441
>R001391        511
>R001392        523
>R001393        409
>R001394        388
>R001395        496
>R001396        535
>R001397        548
>R001398        452
>R001399        425
>R001400        550
>R001401        518
>R001402        457
>R001403        411
>R001404        486
>R001405        495
>R001406        355
>R001407        494
>R001408        484
>R001409        550
>R001410        538
>R001411        489
>R001412        535
>R001413        380
>R001414        369
>R001415        516
>R001416        514
>R001417        427
>R001418        453
>R001419        472
>R001420        438
>R001421        443
>R001422        525
>R001423        557
>R001424        410
>R001425        474
>R001426        434
>R001427        452
>R001428        399
>R001429        580
>R001430        482
>R001431        426
>R001432        459
>R001433        437
>R001434        542
>R001435        374
>R001436        580
>R001437        369
>R001438        438
>R001439        523
>R001440        487
>R001441        449
>R001442        433
>R001443        471
>R001444        482
>R001445        442
>R001446        516
>R001447        482
>R001448        470
>R001449        473
>R001450        471
>R001451        516
>R001452        463
>R001453        466
>R001454        472
>R001455        536
>R001456        468
>R001457        481
>R001458        506
>R001459        475
>R001460        380
>R001461        554
>R001462        410
>R001463        488
>R001464        503
>R001465        322
>R001466        440
>R001467        525
>R001468        432
>R001469        472
>R001470        495
>R001471        481
>R001472        553
>R001473        453
>R001474        581
>R001475        471
>R001476        498
>R001477        456
>R001478        514
>R001479        414
>R001480        352
>R001481        454
>R001482        555
>R001483        379
>R001484        419
>R001485        438
>R001486        482
>R001487        474
>R001488        465
>R001489        449
>R001490        440
>R001491        342
>R001492        530
>R001493        411
>R001494        439
>R001495        365
>R001496        370
>R001497        410
>R001498        450
>R001499        506
>R001500        523
>R001501        355
>R001502        532
>R001503        468
>R001504        489
>R001505        564
>R001506        438
>R001507        459
>R001508        395
>R001509        437
>R001510        510
>R001511        482
>R001512        432
>R001513        431
>R001514        587
>R001515        398
>R001516        404
>R001517        523
>R001518        463
>R001519        568
>R001520        478
>R001521        458
>R001522        469
>R001523        560
>R001524        455
>R001525        445
>R001526        399
>R001527        492
>R001528        425
>R001529        544
>R001530        453
>R001531        329
>R001532        469
>R001533        425
>R001534        492
>R001535        492
>R001536        492
>R001537        527
>R001538        467
>R001539        481
>R001540        529
>R001541        414
>R001542        466
>R001543        429
>R001544        459
>R001545        508
>R001546        479
>R001547        503
>R001548        325
>R001549        446
>R001550        367
>R001551        427
>R001552        430
>R001553        528
>R001554        89
>R001555        456
>R001556        460
>R001557        413
>R001558        527
>R001559        478
>R001560        454
>R001561        465
>R001562        498
>R001563        611
>R001564        375
>R001565        402
>R001566        469
>R001567        471
>R001568        470
>R001569        490
>R001570        388
>R001571        525
>R001572        477
>R001573        435
>R001574        435
>R001575        468
>R001576        410
>R001577        348
>R001578        513
>R001579        462
>R001580        483
>R001581        445
>R001582        454
>R001583        421
>R001584        511
>R001585        510
>R001586        433
>R001587        312
>R001588        383
>R001589        461
>R001590        275
>R001591        441
>R001592        460
>R001593        537
>R001594        555
>R001595        431
>R001596        458
>R001597        492
>R001598        526
>R001599        456
>R001600        326
>R001601        425
>R001602        373
>R001603        446
>R001604        404
>R001605        413
>R001606        475
>R001607        416
>R001608        508
>R001609        321
>R001610        441
>R001611        437
>R001612        567
>R001613        437
>R001614        496
>R001615        300
>R001616        434
>R001617        492
>R001618        431
>R001619        429
>R001620        475
>R001621        460
>R001622        242
>R001623        553
>R001624        495
>R001625        421
>R001626        545
>R001627        529
>R001628        544
>R001629        378
>R001630        479
>R001631        441
>R001632        526
>R001633        425
>R001634        505
>R001635        432
>R001636        456
>R001637        434
>R001638        483
>R001639        503
>R001640        471
>R001641        449
>R001642        477
>R001643        507
>R001644        441
>R001645        468
>R001646        361
>R001647        508
>R001648        488
>R001649        477
>R001650        432
>R001651        387
>R001652        472
>R001653        329
>R001654        322
>R001655        458
>R001656        461
>R001657        545
>R001658        471
>R001659        463
>R001660        494
>R001661        444
>R001662        419
>R001663        425
>R001664        420
>R001665        486
>R001666        523
>R001667        470
>R001668        441
>R001669        511
>R001670        505
>R001671        453
>R001672        536
>R001673        368
>R001674        473
>R001675        529
>R001676        445
>R001677        315
>R001678        531
>R001679        394
>R001680        465
>R001681        473
>R001682        535
>R001683        525
>R001684        537
>R001685        430
>R001686        427
>R001687        478
>R001688        493
>R001689        452
>R001690        490
>R001691        409
>R001692        476
>R001693        480
>R001694        438
>R001695        447
>R001696        342
>R001697        513
>R001698        511
>R001699        365
>R001700        467
>R001701        464
>R001702        436
>R001703        511
>R001704        411
>R001705        500
>R001706        354
>R001707        439
>R001708        474
>R001709        527
>R001710        456
>R001711        464
>R001712        374
>R001713        517
>R001714        500
>R001715        606
>R001716        493
>R001717        460
>R001718        484
>R001719        486
>R001720        478
>R001721        473
>R001722        401
>R001723        489
>R001724        439
>R001725        481
>R001726        482
>R001727        466
>R001728        349
>R001729        553
>R001730        530
>R001731        376
>R001732        499
>R001733        492
>R001734        470
>R001735        467
>R001736        535
>R001737        435
>R001738        491
>R001739        566
>R001740        611
>R001741        466
>R001742        508
>R001743        486
>R001744        483
>R001745        478
>R001746        522
>R001747        482
>R001748        382
>R001749        352
>R001750        403
>R001751        378
>R001752        89
>R001753        573
>R001754        529
>R001755        444
>R001756        440
>R001757        439
>R001758        416
>R001759        452
>R001760        405
>R001761        492
>R001762        373
>R001763        420
>R001764        437
>R001765        420
>R001766        459
>R001767        428
>R001768        409
>R001769        473
>R001770        444
>R001771        484
>R001772        519
>R001773        408
>R001774        343
>R001775        518
>R001776        422
>R001777        569
>R001778        461
>R001779        420
>R001780        509
>R001781        473
>R001782        475
>R001783        452
>R001784        506
>R001785        334
>R001786        512
>R001787        428
>R001788        521
>R001789        419
>R001790        446
>R001791        427
>R001792        434
>R001793        400
>R001794        424
>R001795        545
>R001796        462
>R001797        591
>R001798        396
>R001799        554
>R001800        502
>R001801        429
>R001802        446
>R001803        450
>R001804        496
>R001805        449
>R001806        89
>R001807        468
>R001808        514
>R001809        507
>R001810        491
>R001811        479
>R001812        500
>R001813        521
>R001814        481
>R001815        561
>R001816        447
>R001817        508
>R001818        530
>R001819        248
>R001820        509
>R001821        464
>R001822        276
>R001823        437
>R001824        520
>R001825        375
>R001826        390
>R001827        444
>R001828        466
>R001829        499
>R001830        447
>R001831        457
>R001832        321
>R001833        528
>R001834        488
>R001835        516
>R001836        384
>R001837        549
>R001838        588
>R001839        493
>R001840        462
>R001841        551
>R001842        468
>R001843        507
>R001844        473
>R001845        513
>R001846        506
>R001847        551
>R001848        411
>R001849        454
>R001850        550
>R001851        499
>R001852        361
>R001853        426
>R001854        538
>R001855        501
>R001856        453
>R001857        402
>R001858        552
>R001859        471
>R001860        461
>R001861        645
>R001862        373
>R001863        453
>R001864        533
>R001865        482
>R001866        546
>R001867        469
>R001868        577
>R001869        515
>R001870        457
>R001871        503
>R001872        516
>R001873        426
>R001874        430
>R001875        373
>R001876        485
>R001877        423
>R001878        495
>R001879        449
>R001880        496
>R001881        482
>R001882        436
>R001883        482
>R001884        496
>R001885        417
>R001886        357
>R001887        450
>R001888        486
>R001889        511
>R001890        566
>R001891        420
>R001892        505
>R001893        508
>R001894        496
>R001895        550
>R001896        472
>R001897        435
>R001898        445
>R001899        355
>R001900        428
>R001901        442
>R001902        421
>R001903        380
>R001904        465
>R001905        499
>R001906        391
>R001907        507
>R001908        445
>R001909        469
>R001910        432
>R001911        312
>R001912        431
>R001913        485
>R001914        479
>R001915        494
>R001916        555
>R001917        473
>R001918        474
>R001919        400
>R001920        523
>R001921        451
>R001922        362
>R001923        504
>R001924        546
>R001925        452
>R001926        423
>R001927        89
>R001928        520
>R001929        579
>R001930        443
>R001931        254
>R001932        407
>R001933        318
>R001934        542
>R001935        303
>R001936        480
>R001937        372
>R001938        534
>R001939        409
>R001940        378
>R001941        407
>R001942        439
>R001943        515
>R001944        492
>R001945        436
>R001946        432
>R001947        474
>R001948        89
>R001949        530
>R001950        388
>R001951        490
>R001952        490
>R001953        436
>R001954        441
>R001955        507
>R001956        455
>R001957        499
>R001958        504
>R001959        476
>R001960        472
>R001961        371
>R001962        518
>R001963        527
>R001964        89
>R001965        541
>R001966        492
>R001967        459
>R001968        475
>R001969        498
>R001970        518
>R001971        89
>R001972        413
>R001973        396
>R001974        490
>R001975        411
>R001976        397
>R001977        489
>R001978        464
>R001979        469
>R001980        457
>R001981        526
>R001982        514
>R001983        430
>R001984        441
>R001985        383
>R001986        368
>R001987        493
>R001988        439
>R001989        381
>R001990        552
>R001991        468
>R001992        470
>R001993        410
>R001994        530
>R001995        353
>R001996        345
>R001997        509
>R001998        401
>R001999        304
>R002000        463
>R002001        425
